Dataset,Risk Level,Roles with Access,Users with Access,ISO/IEC 27001 Controls
survey_data.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
drone_images.csv,high,admin,"alice, grace, mia, rachel","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.10 Cryptography (Encrypt sensitive datasets); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
client_locations.csv,high,admin,"alice, grace, mia, rachel","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.10 Cryptography (Encrypt sensitive datasets); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
terrain_maps.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
elevation_models.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
land_parcels.csv,high,admin,"alice, grace, mia, rachel","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.10 Cryptography (Encrypt sensitive datasets); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
traffic_patterns.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
satellite_imagery.csv,high,admin,"alice, grace, mia, rachel","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.10 Cryptography (Encrypt sensitive datasets); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
weather_data.csv,low,"admin, analyst, guest","alice, bob, charlie, david, emily, frank, grace, henry, irene, jack, karen, leo, mia, nathan, olivia, paul, quinn, rachel, steve, tina","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
topographic_maps.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
infrastructure_layers.csv,high,admin,"alice, grace, mia, rachel","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.10 Cryptography (Encrypt sensitive datasets); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
demographics_data.csv,high,admin,"alice, grace, mia, rachel","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.10 Cryptography (Encrypt sensitive datasets); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
hydrology_layers.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
forest_cover.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
utility_networks.csv,high,admin,"alice, grace, mia, rachel","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.10 Cryptography (Encrypt sensitive datasets); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
protected_areas.csv,high,admin,"alice, grace, mia, rachel","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.10 Cryptography (Encrypt sensitive datasets); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
soil_maps.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
urban_planning.csv,high,admin,"alice, grace, mia, rachel","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.10 Cryptography (Encrypt sensitive datasets); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
emergency_routes.csv,high,admin,"alice, grace, mia, rachel","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.10 Cryptography (Encrypt sensitive datasets); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
geological_surveys.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve","A.8 Asset Management (Maintain inventory & classification of datasets); A.9 Access Control (Role-based access: admin, analyst, guest); A.12 Operations Security (Ensure proper backup, logging, patching); A.12.4 Logging & Monitoring (Log all access attempts and review regularly); A.16 Information Security Incident Management (Document and report incidents)"
