Dataset,Risk Level,Roles with Access,Users with Access,Advisory Note
survey_data.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve",
drone_images.csv,high,admin,"alice, grace, mia, rachel",
client_locations.csv,high,admin,"alice, grace, mia, rachel",
terrain_maps.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve",
elevation_models.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve",
land_parcels.csv,high,admin,"alice, grace, mia, rachel",
traffic_patterns.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve",
satellite_imagery.csv,high,admin,"alice, grace, mia, rachel",
weather_data.csv,low,"admin, analyst, guest","alice, bob, charlie, david, emily, frank, grace, henry, irene, jack, karen, leo, mia, nathan, olivia, paul, quinn, rachel, steve, tina",
topographic_maps.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve",
infrastructure_layers.csv,high,admin,"alice, grace, mia, rachel",
demographics_data.csv,high,admin,"alice, grace, mia, rachel",
hydrology_layers.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve",
forest_cover.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve",
utility_networks.csv,high,admin,"alice, grace, mia, rachel",
protected_areas.csv,high,admin,"alice, grace, mia, rachel",
soil_maps.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve",
urban_planning.csv,high,admin,"alice, grace, mia, rachel",
emergency_routes.csv,high,admin,"alice, grace, mia, rachel",
geological_surveys.csv,medium,"admin, analyst","alice, bob, david, emily, grace, henry, jack, leo, mia, nathan, paul, rachel, steve",
